"P_B1_C16II_SP12_ctrlS_PE_Aligned.out.bam.htseq.gene.out" "P_B1_C16III_FL12_ctrlF_PE_Aligned.out.bam.htseq.gene.out" "P_B1_C16III_SP12_ctrlS_PE_Aligned.out.bam.htseq.gene.out" "P_B1_C16IV_FL12_ctrlF_PE_Aligned.out.bam.htseq.gene.out" "P_B1_C16IV_SP12_ctrlS_PE_Aligned.out.bam.htseq.gene.out" "P_B2_C16II_FL12_ctrlF_PE_Aligned.out.bam.htseq.gene.out" "P_B2_STC1II_FL12_ctrlF_PE_Aligned.out.bam.htseq.gene.out" "P_B2_STC1II_SP12_ctrlS_PE_Aligned.out.bam.htseq.gene.out" "P_B2_STC1IV_FL12_ctrlF_PE_Aligned.out.bam.htseq.gene.out" "P_B2_STC1IV_SP12_ctrlS_PE_Aligned.out.bam.htseq.gene.out" "P_B6_STC1II_FL12_ctrlF_SEAligned.out.bam.htseq.gene.out" "P_B6_STC1II_SP12_ctrlS_SEAligned.out.bam.htseq.gene.out" "P_B6_STC1IV_FL12_ctrlF_SEAligned.out.bam.htseq.gene.out" "P_B6_STC1IV_SP12_ctrlS_SEAligned.out.bam.htseq.gene.out"
"LOC105274440" 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933
"LOC105274441" 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933 5.20632313563933
"LOC105274442" 11.033643036356 11.5083842764364 11.0100414782444 11.4354216390678 11.2508133176567 11.4163648653196 10.7709410935582 11.180109627989 10.9237796113134 10.8882653599385 11.6258876675175 11.5278484615512 11.1307874826636 11.1053408594088
"LOC105274443" 8.84219828037243 8.90940763858023 8.87040279745501 9.00339797155135 8.9685249989812 8.52931574941733 8.68393536060507 8.35690663318015 8.60060505395882 7.98914316700907 8.5584070095557 8.50241997136971 8.54626578911019 8.46679699751016
"LOC105274444" 11.2493100493941 11.4166027404442 11.3160202385582 11.7680605862118 11.2240161396262 11.3862104561453 11.7918329435748 11.6033136580257 11.940157893176 11.8921040766074 12.0579184646979 12.0778798259522 12.3541173031552 11.9610936276793
"LOC105274445" 10.2950350131998 10.0361403859859 10.3385939612573 9.99803129375452 10.3223773043501 10.2046211888988 10.3665789372952 10.43186976438 10.2125740444541 10.6217945435642 10.3054468860151 10.324009573126 10.0727135282065 10.4943514297095
"LOC105274446" 10.8421508015826 10.3498510047219 10.8763088518667 10.1305036805741 10.8387397585465 11.0491539359965 10.2352112474333 10.7183646607902 10.2208871816435 10.2219348879648 10.536952426867 10.8162646938835 10.4410821976439 10.9881375513257
"LOC105274447" 9.33819401585184 9.40796758959765 9.51272830566392 9.47248687518018 9.38857062460863 9.57711098840668 9.7214956158922 9.33739639459873 9.41552666027709 9.60741518223703 9.60325777146267 9.31950303982589 9.42401565307578 9.48720466330306
"LOC105274448" 6.76600850036058 6.51728525585988 6.38181809514478 6.29443536000808 6.25713886689554 6.33483078399602 5.95986288902746 6.18488541507552 5.82306081913354 6.38085748488857 5.59894650644675 6.57549035447059 5.71683600755185 6.79488299130985
"LOC105274449" 10.407823079548 10.3648205327362 10.3009798354911 10.4605632595344 10.3868601977404 10.563824154562 10.6591132996458 10.7883124560874 10.7658049844898 11.0263046450216 10.7375233265919 11.1459237834639 10.9138258753046 11.011988929171
"LOC105274450" 11.115483403959 11.0903841909455 11.0542310527081 10.9011323160263 11.1166279053404 11.1124852750581 10.5002252281563 10.828811475882 10.7566901837105 10.6224016661321 11.2482466063092 11.2574696032805 11.2192130703177 11.3174846216063
"LOC105274451" 10.4869725170906 10.3276103863933 10.5349674187515 10.4889123226519 10.5784803937486 10.6814077372826 10.7246113313034 10.5908156633432 10.7078682602525 10.8226927999856 10.6238348422328 10.5607046523379 10.5395176711657 10.6286143520493
"LOC105274452" 9.16032506352622 9.15517207233978 9.01574628110777 8.94228780384304 8.93713684326951 9.01574214823973 9.23231090814819 9.10962273021406 8.8690131803553 9.26487382942321 8.81092940847452 8.36382142509742 8.47150194005482 8.94512328533916
"LOC105274453" 8.94684664128301 9.38656447266764 8.79580362544944 9.04350736532725 9.00199719192337 8.99763367733026 9.28792030488902 9.5950484405153 9.58637243336511 9.50690743987719 9.29332041674454 9.70298931413593 9.65664664852327 9.36683559043698
"LOC105274454" 9.74499378982724 8.01156389864067 9.92028965386088 9.21641516966411 9.88971151736183 8.10707270817039 7.50081309233972 7.72690396815093 7.48596967941483 7.98529274041576 9.67800071369345 9.70815767207866 8.90378002526952 9.66469736835792
